NAME, SMILES
2-pyrazoline, C1CC=NN1
2-imidazoline, C1CN=CN1
pyrazole, C1=CC=NN1
imidazole, C1=CN=CN1
124-triazole, C1=NC=NN1
123-triazole, C1=CN=NN1
tetrazole, C1=NN=NN1
tetrahydrofuran, C1CCCO1
furan, C1=CC=CO1
13-dioxolane, C1COCO1
tetrahydrothiophene, C1CCCS1
thiophene, C1=CC=CS1
oxazole, C1=CN=CO1
isoxazole, C1=CC=NO1
isothiazole, C1=CC=NS1
thiazole, C1=CN=CS1
12-oxathiolane, C1CCSO1
13-oxathiolane, C1CSCO1
125-oxadiazole, C1=NON=C1
123-oxadiazole, C1=CON=N1
134-thiadiazole, N1=CSC=N1
125-thiadiazole, C1=NSN=C1
sulfolane, C1CCCS1(=O)=O
24-thiazolidinedione, C1C(=O)NC(=O)S1
succinimide, O=C1NC(=O)CC1
2-oxazolidone, O=C1OCCN1
hydantoin, O=C1NC(=O)NC1
carboxylic, C(=O)O
sulfonyl, C=S
imine, C=N
nitrile, C#N
NO, N=O
Carbonile, C=O
carbamate, C(=O)OC
amide, C(=O)N
amidine, C(=N)N
benzene, c1ccccc1
naphtalene, c1c2ccccc2ccc1
azulene, c1cccc2cccc2c1
anthracene, c1ccc2cc3ccccc3cc2c1
phenanthrene, C1=CC=C2C(=C1)C=CC3=CC=CC=C32
phenol, c1ccccc1O
guanido, NC(=N)N
imide, O=CNC=O
sulfonamide, S(=O)(=O)N
sulfone, S(=O)=O
nitro, N(=O)O
nitroso, N=O
urea, NC(=O)N
thiourea, NC(=S)N
oxime, C=N-O
hydrazone, C=N-N
cyclopropyl,C1CC1
cyclobutyl,C1CCC1
cyclopentyl,C1CCCC1
cyclohexyl,C1CCCCC1
